Mean steps per day 2019;;Mean steps per day 2020;;change;;;;Gem step 2019;Gem step 2020;;year;gender;bmi;living;stap_om_1_aantal;stap_om_2_aantal;stap_om_3_aantal;stap_om_4_aantal;stap_om_5_aantal;stap_om_6_aantal;stap_om_7_aantal;;Kolom1;Kolom3;Kolom4;Kolom5;Kolom6;Kolom7;Kolom8;Kolom9;Kolom10;Kolom11;Kolom12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
t Critical two-tail;1,974996177;;;;;;;7075,14;1168,142857;;2019;Male;22;Living_with_parents;11955,00;11805,00;4847,00;7527,00;1859,00;4725,00;6808,00;;;Male;19.7;Moved_out;1563,00;1103,00;1573,00;1292,00;1051,00;243,00;1352,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;7609,86;4325,857143;;2019;Male;22.4;Moved_out;5325,00;9080,00;6591,00;7092,00;9095,00;7163,00;8923,00;;;Male;20;Moved_out;5099,00;5219,00;4126,00;3744,00;2411,00;4214,00;5468,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;11066,83;3186,714286;;2019;Male;19.4;Living_with_parents;13047,00;10023,00;5803,00;NA;4580,00;12947,00;20001,00;;;Male;21;Living_with_parents;3983,00;4243,00;1010,00;3279,00;3354,00;1804,00;4634,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P value is very low so highly likely that it is significantly different;;;;;;;;6462,57;2708,857143;;2019;Male;26.3;Living_with_parents;10150,00;6388,00;3833,00;1270,00;2153,00;5031,00;16413,00;;;Male;22.3;Moved_out;37,00;500,00;2165,00;1104,00;1947,00;1972,00;11237,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;6992,43;2752,714286;;2019;Male;20.2;Living_with_parents;9974,00;10973,00;3915,00;2789,00;4135,00;10870,00;6291,00;;;Male;26;Living_with_parents;2037,00;2564,00;688,00;2306,00;5362,00;2424,00;3888,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;13370,00;2933;;2019;Male;20.4;Living_with_parents;15240,00;18987,00;10376,00;8727,00;6281,00;11305,00;22674,00;;;Male;17.7;Living_with_parents;986,00;2183,00;8670,00;1016,00;3626,00;1017,00;3033,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;7191,57;5894,285714;;2019;Male;19.3;Moved_out;8260,00;6451,00;9015,00;10312,00;3412,00;4956,00;7935,00;;;Male;21;Moved_out;5789,00;3469,00;9087,00;13456,00;2356,00;5374,00;1729,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;6827,71;3506,571429;;2019;Male;20;Moved_out;12158,00;4690,00;5611,00;4295,00;7947,00;6497,00;6596,00;;;Male;19.9;Living_with_parents;3953,00;4242,00;1697,00;1717,00;3957,00;3226,00;5754,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;9662,57;7485;;2019;Male;18.4;Moved_out;4947,00;5978,00;15640,00;10779,00;16433,00;9439,00;4422,00;;;Male;22;Living_with_parents;2166,00;8134,00;14987,00;9364,00;1946,00;13989,00;1809,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;10036,29;6570,833333;;2019;Male;20.4;Living_with_parents;12529,00;7272,00;16597,00;7013,00;5144,00;9046,00;12653,00;;;Male;21;Living_with_parents;NA;4596,00;11650,00;4883,00;5463,00;6531,00;6302,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bin;Frequency 2019;;Bin;Frequency 2020;;;;9857,29;6585,714286;;2019;Male;21;Moved_out;16332,00;12083,00;9899,00;3506,00;9853,00;4314,00;13014,00;;;Male;22.3;Living_with_parents;5081,00;10818,00;4618,00;6124,00;7079,00;6699,00;5681,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;0;;203;1;;;;7072,71;1722,571429;;2019;Male;19.1;Living_with_parents;11487,00;9963,00;11537,00;5215,00;1668,00;5928,00;3711,00;;;Male;20.8;Living_with_parents;4470,00;2395,00;573,00;1385,00;889,00;874,00;1472,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1141;0;;1141;2;;;;6209,14;6083,285714;;2019;Male;19.3;Living_with_parents;4911,00;6657,00;4590,00;5886,00;5693,00;6343,00;9384,00;;;Male;26.5;Living_with_parents;8711,00;1401,00;12035,00;2327,00;11713,00;2651,00;3745,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2079;0;;2079;6;;;;6037,71;4677;;2019;Male;18.6;Living_with_parents;9485,00;6179,00;11517,00;5007,00;935,00;4334,00;4807,00;;;Male;20.8;Moved_out;7335,00;5680,00;5863,00;3479,00;4858,00;3026,00;2498,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2526;1;;2526;0;;;;5671,00;868,5714286;;2019;Male;21;Living_with_parents;5232,00;6501,00;5430,00;7242,00;3829,00;4708,00;6755,00;;;Male;20.7;Moved_out;666,00;320,00;1259,00;557,00;426,00;2061,00;791,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3017;0;;3017;17;;;;4500,57;7454,142857;;2019;Male;16.75;Living_with_parents;5733,00;4824,00;3017,00;8297,00;615,00;5458,00;3560,00;;;Male;20.2;Living_with_parents;3839,00;5847,00;13132,00;3935,00;4419,00;6533,00;14474,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3731;3;;3731;0;;;;9034,14;2444,571429;;2019;Male;24.78;Living_with_parents;5884,00;11863,00;3771,00;18166,00;1767,00;8794,00;12994,00;;;Male;21.8;Living_with_parents;3957,00;678,00;3832,00;816,00;3975,00;707,00;3147,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3954;0;;3954;19;;;;7592,57;2254,714286;;2019;Male;17.5;Moved_out;6604,00;12456,00;6525,00;9859,00;4724,00;7497,00;5483,00;;;Male;22.9;Living_with_parents;408,00;1471,00;7364,00;5114,00;371,00;531,00;524,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4892;0;;4892;23;;;;5330,57;4575,714286;;2019;Male;23.5;Moved_out;6927,00;1763,00;7331,00;2486,00;7638,00;8915,00;2254,00;;;Male;18.4;Living_with_parents;3758,00;5064,00;8557,00;1165,00;4235,00;2109,00;7142,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4936;9;;4936;0;;;;5511,86;4138,857143;;2019;Male;25.5;Living_with_parents;2700,00;6783,00;6411,00;6010,00;2070,00;10056,00;4553,00;;;Male;23.4;Moved_out;1741,00;6142,00;4449,00;3588,00;1941,00;4303,00;6808,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5830;0;;5830;11;;;;4489,43;3798,428571;;2019;Male;22.5;Moved_out;33,00;8139,00;6419,00;138,00;8995,00;7702,00;0,00;;;Male;19.9;Living_with_parents;6814,00;3749,00;713,00;811,00;0,00;523,00;13979,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6141;17;;6141;0;;;;6965,71;3022,142857;;2019;NA;20.1;Moved_out;6137,00;14538,00;6116,00;3709,00;3479,00;2463,00;12318,00;;;Male;22.2;Moved_out;1593,00;2588,00;2255,00;1411,00;6527,00;2190,00;4591,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6767;0;;6767;8;;;;7947,86;3789,142857;;2019;NA;18.1;Moved_out;9700,00;13273,00;7942,00;2161,00;10073,00;2929,00;9557,00;;;Male;22;Moved_out;2569,00;5833,00;4229,00;4159,00;2760,00;1678,00;5296,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7346;22;;7346;0;;;;;4571,857143;;;;;;;;;;;;;;;Male;21;Living_with_parents;7228,00;4409,00;9121,00;1503,00;3784,00;1227,00;4731,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7705;0;;7705;4;;;;;5854,857143;;;;;;;;;;;;;;;Male;17;Living_with_parents;8323,00;3242,00;7432,00;6588,00;4783,00;1693,00;8923,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8551;17;;8551;3;;;;;3449;;;;;;;;;;;;;;;NA;20;Living_with_parents;416,00;678,00;2479,00;1662,00;7445,00;4028,00;7435,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9755;6;;9755;0;;;;;2493,571429;;;;;;;;;;;;;;;NA;23;Moved_out;1537,00;1800,00;2686,00;818,00;3785,00;1840,00;4989,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10960;3;;10960;0;;;;;8492;;;;;;;;;;;;;;;NA;25;Living_with_parents;6036,00;8976,00;11672,00;7524,00;9373,00;8237,00;7626,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12165;2;;12165;0;;;;;203,2857143;;;;;;;;;;;;;;;NA;23.9;Moved_out;970,00;132,00;65,00;60,00;62,00;70,00;64,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
More;2;;More;0;;;;;4102;;;;;;;;;;;;;;;NA;18.1;Living_with_parents;4012,00;5531,00;941,00;3303,00;8345,00;3170,00;3412,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3255,428571;;;;;;;;;;;;;;;NA;19.1;Moved_out;2490,00;735,00;2501,00;5534,00;4721,00;2494,00;4313,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;2334;;;;;;;;;;;;;;;NA;21;Moved_out;1324,00;12,00;6093,00;4101,00;0,00;0,00;4808,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3114,714286;;;;;;;;;;;;;;;NA;17.9;Living_with_parents;2497,00;1308,00;1663,00;4654,00;5954,00;4616,00;1111,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;2907;;;;;;;;;;;;;;;NA;21.1;Living_with_parents;6046,00;1730,00;2105,00;152,00;2324,00;3732,00;4260,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;6054;;;;;;;;;;;;;;;NA;20.3;Moved_out;1342,00;7867,00;8725,00;4746,00;9151,00;5082,00;5465,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Gem step 2019;Gem step 2020;;year;gender;bmi;living;stap_om_1_aantal;stap_om_2_aantal;stap_om_3_aantal;stap_om_4_aantal;stap_om_5_aantal;stap_om_6_aantal;stap_om_7_aantal;;Kolom1;Kolom3;Kolom4;Kolom5;Kolom6;Kolom7;Kolom8;Kolom9;Kolom10;Kolom11;Kolom12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anova: Two-Factor With Replication;;;;;;;Female;5402,857143;2314;;2019;Female;18;Moved_out;9905,00;4295,00;5266,00;5373,00;3041,00;2545,00;7395,00;;2020,00;Female;20.6;Moved_out;6000,00;1600,00;0,00;1450,00;1390,00;2599,00;3159,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;6931,285714;4795,571429;;2019;Female;24.9;Moved_out;10285,00;4431,00;10584,00;2608,00;2041,00;6717,00;11853,00;;;Female;20;Moved_out;1652,00;2701,00;3827,00;10299,00;5119,00;3878,00;6093,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUMMARY;Gem step 2019;Gem step 2020;Total;;;;;7050,857143;811,4285714;;2019;Female;21.8;Moved_out;5906,00;4997,00;6987,00;8054,00;7543,00;6789,00;9080,00;;;Female;23.8;Moved_out;662,00;592,00;1348,00;406,00;1122,00;960,00;590,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Female;;;;;;;;7517,571429;4113,142857;;2019;Female;18.7;Living_with_parents;4094,00;5949,00;2808,00;1454,00;17456,00;4546,00;16316,00;;;Female;18.5;Moved_out;4600,00;3624,00;5015,00;638,00;3884,00;5690,00;5341,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Count;29;29;58;;;;;10312;4042,142857;;2019;Female;22;Moved_out;17107,00;10586,00;11085,00;6768,00;16327,00;3273,00;7038,00;;;Female;22.6;Living_with_parents;1184,00;656,00;4272,00;8937,00;5597,00;1163,00;6486,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sum;204455;121814,7143;326269,7143;;;;;4820,285714;2605,857143;;2019;Female;19.7;Living_with_parents;5012,00;6055,00;4610,00;1609,00;7152,00;4187,00;5117,00;;;Female;19.9;Living_with_parents;1835,00;3540,00;1101,00;1022,00;2275,00;4622,00;3846,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Average;7050,172414;4200,507389;5625,339901;;;;;8018,428571;5145,428571;;2019;Female;23.1;Moved_out;9892,00;4183,00;4009,00;5616,00;6536,00;8117,00;17776,00;;;Female;21.9;Moved_out;3625,00;8236,00;2261,00;4485,00;2874,00;6380,00;8157,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Variance;4010863,544;2679319,049;5352169,799;;;;;3873,285714;3758,428571;;2019;Female;17.7;Moved_out;10466,00;3249,00;1002,00;1437,00;1015,00;4691,00;5253,00;;;Female;21.8;Moved_out;1720,00;529,00;8749,00;3861,00;3018,00;4254,00;4178,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Standard error;371,8946618;303,9577471;;;2019;2020;;5023,428571;3404,714286;;2019;Female;23;Moved_out;4915,00;10179,00;6154,00;5264,00;28,00;2577,00;6047,00;;;Female;18.7;Living_with_parents;3712,00;972,00;1330,00;1886,00;5415,00;3675,00;6843,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Male;;;;;;;;2526,285714;3842,714286;;2019;Female;24.8;Living_with_parents;4650,00;3658,00;2883,00;1476,00;0,00;0,00;5017,00;;;Female;23.8;Moved_out;3386,00;2549,00;10163,00;4742,00;2497,00;2843,00;719,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Count;29;29;58;;;;;6482,571429;1956,428571;;2019;Female;19.8;Moved_out;3645,00;4909,00;5214,00;6207,00;7288,00;9579,00;8536,00;;;Female;17.6;Living_with_parents;2364,00;1084,00;1538,00;2312,00;1737,00;1431,00;3229,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sum;211434,6905;125934,6905;337369,381;;;;;4870,714286;5495,285714;;2019;Female;19.8;Living_with_parents;9221,00;5175,00;4586,00;1041,00;2125,00;5587,00;6360,00;;;Female;23;Living_with_parents;6041,00;7858,00;1042,00;2799,00;5911,00;8655,00;6161,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Average;7290,851396;4342,575534;5816,713465;;;;;8776,571429;5816,714286;;2019;Female;22.2;Living_with_parents;6113,00;13245,00;22098,00;1235,00;4736,00;14009,00;0,00;;;Female;20;Moved_out;2060,00;5415,00;5547,00;1792,00;4935,00;14575,00;6393,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Variance;5393998,435;3699795,353;6678333,669;;;;;8121,428571;5405;;2019;Female;19.5;Living_with_parents;7865,00;8060,00;5964,00;10024,00;14717,00;4115,00;6105,00;;;Female;18.7;Living_with_parents;4117,00;1584,00;4764,00;6044,00;5459,00;2686,00;13181,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Standard error;431,2771105;357,1822365;;;;;;5778;4504,142857;;2019;Female;20;Living_with_parents;4199,00;11562,00;6735,00;6902,00;383,00;3501,00;7164,00;;;Female;23;Moved_out;7302,00;0,00;0,00;2534,00;6160,00;8017,00;7516,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;;;;;;;;8175,571429;4542;;2019;Female;21;Living_with_parents;11508,00;7006,00;7155,00;4667,00;8076,00;7567,00;11250,00;;;Female;23;Moved_out;9034,00;7843,00;0,00;0,00;8585,00;1952,00;4380,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Count;58;58;;;;;;7359,142857;5155,142857;;2019;Female;20;Living_with_parents;14077,00;5818,00;8140,00;4064,00;4099,00;5019,00;10297,00;;;Female;16.9;Living_with_parents;11631,00;2414,00;4204,00;4636,00;3574,00;3356,00;6271,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sum;415889,6905;247749,4048;;;;;;7790,714286;2613,285714;;2019;Female;17.8;Moved_out;8358,00;6610,00;7847,00;11650,00;8211,00;4459,00;7400,00;;;Female;20.4;Living_with_parents;1394,00;124,00;2374,00;1598,00;2581,00;5408,00;4814,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Average;7170,511905;4271,541461;;;;;;7470,857143;3001;;2019;Female;22.1;Moved_out;6717,00;6390,00;6019,00;8323,00;6941,00;10717,00;7189,00;;;Female;18.7;Living_with_parents;1304,00;9834,00;351,00;2374,00;341,00;2581,00;4222,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Variance;4634667,856;3138734,42;;;;;;6404;2959,857143;;2019;Female;20.8;Living_with_parents;4905,00;7660,00;5738,00;4692,00;6182,00;4079,00;11572,00;;;Female;19.2;Living_with_parents;3270,00;3636,00;1328,00;1718,00;3172,00;3441,00;4154,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;8543,571429;5355,285714;;2019;Female;23;Moved_out;13176,00;11789,00;7345,00;1359,00;5233,00;5867,00;15036,00;;;Female;19.4;Moved_out;6015,00;6127,00;8090,00;2133,00;10644,00;1024,00;3454,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;6215,428571;8643,428571;;2019;Female;19.7;Living_with_parents;7959,00;4286,00;12838,00;1171,00;7625,00;4783,00;4846,00;;;Female;25.1;Moved_out;13264,00;9693,00;3145,00;12029,00;5083,00;10720,00;6570,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANOVA;;;;;;;;7942,285714;7446,571429;;2019;Female;18.2;Living_with_parents;7215,00;7164,00;7635,00;10459,00;5619,00;10001,00;7503,00;;;Female;23;Living_with_parents;6319,00;9099,00;6922,00;9290,00;10042,00;5199,00;5255,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Source of Variation;F;P-value;F crit;;;;;12669,85714;2806,285714;;2019;Female;18.1;Moved_out;13960,00;4667,00;17426,00;29370,00;12706,00;1652,00;8908,00;;;Female;22;Living_with_parents;2008,00;902,00;519,00;4315,00;4907,00;480,00;6513,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gender;0,27;0,60;3,93;;;;;6029,142857;3364,285714;;2019;Female;22;Living_with_parents;4329,00;4277,00;11185,00;7320,00;4142,00;5818,00;5133,00;;;Female;22.9;Moved_out;1002,00;4554,00;2142,00;805,00;8566,00;1409,00;5072,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Years;61,76;0,00;3,93;;;;;8178,857143;3384;;2019;Female;20.3;Moved_out;6290,00;4786,00;6892,00;10372,00;5937,00;8936,00;14039,00;;;Female;25.4;Living_with_parents;NA;4492,00;0,00;1747,00;3382,00;1837,00;8846,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
