Mean steps per day 2019;;Mean steps per day 2020;;change;;;;Gem step 2019;Gem step 2020;;year;gender;bmi;living;stap_om_1_aantal;stap_om_2_aantal;stap_om_3_aantal;stap_om_4_aantal;stap_om_5_aantal;stap_om_6_aantal;stap_om_7_aantal;;Kolom1;Kolom3;Kolom4;Kolom5;Kolom6;Kolom7;Kolom8;Kolom9;Kolom10;Kolom11;Kolom12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interaction;0,02;0,89;3,93;;;;;6048,285714;5850;;2019;Female;19.4;Living_with_parents;9612,00;11649,00;5085,00;5468,00;3739,00;0,00;6785,00;;;Female;20;Living_with_parents;8321,00;2195,00;6038,00;5609,00;5077,00;6836,00;6874,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;9501,714286;4590,142857;;2019;Female;18.1;Living_with_parents;11663,00;10089,00;10532,00;6381,00;5840,00;10035,00;11972,00;;;Female;21;Living_with_parents;5982,00;3519,00;1735,00;7499,00;3364,00;3018,00;7014,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;6620;4092,428571;;2019;Female;21;Living_with_parents;9061,00;9820,00;5146,00;410,00;8697,00;8815,00;4391,00;;;Female;20;Living_with_parents;2022,00;3837,00;3670,00;2045,00;5198,00;4372,00;7503,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Male;5321,43;5385,86;;2019;Female;23.2;Moved_out;11133,00;4877,00;6055,00;14708,00;0,00;0,00;5092,00;;;Female;20.4;Living_with_parents;5219,00;9176,00;4873,00;1979,00;3431,00;7989,00;13041,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;11218,14;8102,857143;;2019;Female;21.8;Moved_out;0,00;8657,00;1796,00;8704,00;4371,00;3261,00;2328,00;;;Female;NA;Living_with_parents;0,00;0,00;4396,00;1417,00;958,00;0,00;5201,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;7826,29;5820,142857;;2019;Female;NA;Moved_out;5925,00;11048,00;3191,00;17565,00;4688,00;1689,00;7256,00;;;Female;20.4;Moved_out;667,00;7268,00;2259,00;1898,00;3502,00;4105,00;6739,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hypothesis tests:;;;;;;;;5328,00;4628,571429;;2019;Female;20.4;Moved_out;3852,00;4734,00;8217,00;5134,00;8185,00;4875,00;5755,00;;;Female;18.4;Living_with_parents;2090,00;1467,00;3375,00;2913,00;3554,00;2493,00;2319,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gender;;Year;;Interaction;;;;5248,14;3989,142857;;2019;Female;20.8;Living_with_parents;4160,00;5108,00;4996,00;2228,00;971,00;7520,00;9934,00;;;Female;21.6;Living_with_parents;4934,00;8001,00;2822,00;1992,00;3590,00;5797,00;4864,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
h0: mean steps_male=mean steps_female;;h0:mean steps_2019=mean steps_2020;;h0: There is no interaction between gender & years;;;;3417,57;4461,714286;;2019;Female;23;Living_with_parents;3702,00;470,00;8289,00;1063,00;2513,00;3196,00;9102,00;;;Female;21;Living_with_parents;558,00;4515,00;2979,00;4476,00;4465,00;214,00;4973,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
h1: There is significant difference because of gender;;h1:There is significant difference because of year ;;h1: There is interaction between gender & years;;;;9273,43;5001;;2019;Female;19.4;Living_with_parents;2607,00;4198,00;2799,00;2010,00;618,00;4782,00;5908,00;;;Female;21.1;Moved_out;3031,00;900,00;3311,00;11363,00;2107,00;804,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
alpha=0,5;;alpha=0,5;;alpha=0,5;;;;6199,71;4838,714286;;2019;Female;22.6;Living_with_parents;5002,00;5788,00;6586,00;9510,00;5225,00;6865,00;9934,00;;;Female;23;Moved_out;2886,00;1891,00;4276,00;1197,00;4183,00;3414,00;5428,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;7075,14;2369,571429;;2019;Female;21.6;Living_with_parents;8242,00;5733,00;3494,00;7133,00;1401,00;4155,00;12021,00;;;Female;21.2;Living_with_parents;5070,00;6372,00;11683,00;1997,00;794,00;7047,00;573,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anova test solution:;;Anova test solution:;;Anova test solution:;;;;7609,86;1168,142857;;2019;Female;24.5;Moved_out;8046,00;9414,00;14032,00;10776,00;4707,00;6995,00;11082,00;;;Female;22;Moved_out;2652,00;803,00;731,00;745,00;541,00;1138,00;4032,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F>Fcrit = False;;F>Fcrit = True;;F>Fcrit = False;;;;11066,83;4325,857143;;2019;Female;19.1;Moved_out;8020,00;6033,00;5051,00;7402,00;5019,00;6365,00;6570,00;;;Female;16.6;Living_with_parents;20315,00;7181,00;3337,00;4047,00;4844,00;4498,00;5598,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P-value<alpha= False;;P-value<alpha= True;;P-value<alpha= False;;;;6462,57;3186,714286;;2019;Female;20.6;Living_with_parents;5675,00;7552,00;14464,00;8719,00;2899,00;3486,00;4079,00;;;Female;22.2;Living_with_parents;7053,00;3643,00;6864,00;1115,00;4222,00;7855,00;1882,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
So reject h1;;So reject h0 ;;So reject h1 and conclude that there is evidence of interaction;;;;6992,43;2708,857143;;2019;Female;21;Moved_out;4567,00;5000,00;12406,00;8585,00;4479,00;5930,00;4050,00;;;Female;20.1;Moved_out;1700,00;2466,00;4362,00;3102,00;4961,00;9522,00;4965,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;13370,00;2752,714286;;2019;Female;17.8;Moved_out;4000,00;1548,00;1800,00;4149,00;1980,00;2973,00;4989,00;;;Female;20;Moved_out;8801,00;4020,00;4154,00;3475,00;3384,00;10178,00;2558,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;7191,57;2933;;2019;Female;20.9;Living_with_parents;8238,00;11563,00;5441,00;4342,00;1410,00;5325,00;9568,00;;;Female;17.6;Living_with_parents;13014,00;1509,00;3404,00;10546,00;3488,00;906,00;4370,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;6827,71;5894,285714;;2019;Female;20.2;Living_with_parents;5957,00;6613,00;6686,00;884,00;3898,00;8529,00;5016,00;;;Female;19;Moved_out;1348,00;526,00;610,00;1482,00;3062,00;837,00;1134,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;9662,57;3506,571429;;2019;Female;20.5;Living_with_parents;8876,00;3637,00;4508,00;1514,00;0,00;4016,00;8240,00;;;Female;18.6;Living_with_parents;1938,00;1719,00;1679,00;1631,00;4656,00;1118,00;5577,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;10036,29;7485;;2019;Female;21.9;Moved_out;6886,00;3038,00;5891,00;6034,00;1763,00;2398,00;8197,00;;;Female;NA;Living_with_parents;912,00;3766,00;4184,00;6053,00;4135,00;2019,00;3909,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;9857,29;6570,833333;;2019;Female;18;Moved_out;4728,00;15236,00;4148,00;7203,00;1932,00;5676,00;4946,00;;;Female;18;Moved_out;4850,00;797,00;5069,00;7209,00;2374,00;3482,00;6030,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;7072,71;6585,714286;;2019;Female;23.5;Moved_out;15082,00;14061,00;5166,00;3351,00;8459,00;5734,00;0,00;;;Female;NA;Moved_out;3006,00;2225,00;5507,00;1339,00;5040,00;6129,00;5039,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;6209,14;1722,571429;;2019;Female;19;Moved_out;7496,00;19900,00;1624,00;4960,00;5533,00;9197,00;4416,00;;;Female;21.6;Living_with_parents;885,00;3230,00;2347,00;2934,00;4595,00;3521,00;3788,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;6037,71;6083,285714;;2019;Female;22.4;Moved_out;7266,00;14292,00;9149,00;4807,00;10988,00;7853,00;4968,00;;;Male;21.5;Moved_out;4950,00;1083,00;6555,00;5266,00;5969,00;6423,00;7455,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;5671,00;4677;;2019;Male;27.8;Living_with_parents;9304,00;1136,00;7600,00;5368,00;847,00;8703,00;4292,00;;;Male;21;Moved_out;12430,00;2268,00;9565,00;7877,00;2951,00;8973,00;12656,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;4500,57;868,5714286;;2019;Male;23.6;Living_with_parents;18769,00;16589,00;7969,00;13499,00;6739,00;4564,00;10398,00;;;Male;32;Living_with_parents;5176,00;6805,00;7072,00;5374,00;3201,00;6713,00;6400,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;9034,14;7454,142857;;2019;Male;19.9;Living_with_parents;11973,00;9937,00;14253,00;2907,00;4456,00;7818,00;3440,00;;;Male;21.7;Moved_out;10207,00;4270,00;3525,00;1494,00;1448,00;3921,00;7535,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;7592,57;2444,571429;;2019;Male;27.4;Living_with_parents;6605,00;7647,00;3817,00;4595,00;3210,00;5187,00;6235,00;;;Male;24;Living_with_parents;2617,00;7028,00;2653,00;2418,00;1953,00;5656,00;5599,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;5330,57;2254,71;;2019;Male;19.8;Living_with_parents;6746,00;6253,00;10580,00;1042,00;2125,00;3643,00;6348,00;;;Male;23;Living_with_parents;5629,00;3245,00;8406,00;732,00;3532,00;4738,00;4950,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;5511,86;4575,714286;;2019;Male;24;Moved_out;2920,00;3518,00;3659,00;0,00;3368,00;5935,00;4523,00;;;Male;19.2;Living_with_parents;3100,00;3063,00;3044,00;700,00;5053,00;8047,00;12000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;4489,43;4138,86;;2019;Male;17.5;Living_with_parents;12257,00;13984,00;12975,00;5560,00;11835,00;3957,00;4346,00;;;Male;22.6;Moved_out;6546,00;4094,00;5574,00;4067,00;4528,00;7141,00;1921,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2019;Male;23;Moved_out;12034,00;6150,00;5989,00;0,00;0,00;5413,00;13812,00;;;Male;NA;Living_with_parents;2649,00;3412,00;234,00;187,00;1901,00;3692,00;4512,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2019;Male;22;Living_with_parents;11955,00;11805,00;4847,00;7527,00;1859,00;4725,00;6808,00;;;Male;19.7;Moved_out;1563,00;1103,00;1573,00;1292,00;1051,00;243,00;1352,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2019;Male;22.4;Moved_out;5325,00;9080,00;6591,00;7092,00;9095,00;7163,00;8923,00;;;Male;20;Moved_out;5099,00;5219,00;4126,00;3744,00;2411,00;4214,00;5468,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2019;Male;19.4;Living_with_parents;13047,00;10023,00;5803,00;NA;4580,00;12947,00;20001,00;;;Male;21;Living_with_parents;3983,00;4243,00;1010,00;3279,00;3354,00;1804,00;4634,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2019;Male;26.3;Living_with_parents;10150,00;6388,00;3833,00;1270,00;2153,00;5031,00;16413,00;;;Male;22.3;Moved_out;37,00;500,00;2165,00;1104,00;1947,00;1972,00;11237,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2019;Male;20.2;Living_with_parents;9974,00;10973,00;3915,00;2789,00;4135,00;10870,00;6291,00;;;Male;26;Living_with_parents;2037,00;2564,00;688,00;2306,00;5362,00;2424,00;3888,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2019;Male;20.4;Living_with_parents;15240,00;18987,00;10376,00;8727,00;6281,00;11305,00;22674,00;;;Male;17.7;Living_with_parents;986,00;2183,00;8670,00;1016,00;3626,00;1017,00;3033,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2019;Male;19.3;Moved_out;8260,00;6451,00;9015,00;10312,00;3412,00;4956,00;7935,00;;;Male;21;Moved_out;5789,00;3469,00;9087,00;13456,00;2356,00;5374,00;1729,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2019;Male;20;Moved_out;12158,00;4690,00;5611,00;4295,00;7947,00;6497,00;6596,00;;;Male;19.9;Living_with_parents;3953,00;4242,00;1697,00;1717,00;3957,00;3226,00;5754,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2019;Male;18.4;Moved_out;4947,00;5978,00;15640,00;10779,00;16433,00;9439,00;4422,00;;;Male;22;Living_with_parents;2166,00;8134,00;14987,00;9364,00;1946,00;13989,00;1809,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2019;Male;20.4;Living_with_parents;12529,00;7272,00;16597,00;7013,00;5144,00;9046,00;12653,00;;;Male;21;Living_with_parents;NA;4596,00;11650,00;4883,00;5463,00;6531,00;6302,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2019;Male;21;Moved_out;16332,00;12083,00;9899,00;3506,00;9853,00;4314,00;13014,00;;;Male;22.3;Living_with_parents;5081,00;10818,00;4618,00;6124,00;7079,00;6699,00;5681,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2019;Male;19.1;Living_with_parents;11487,00;9963,00;11537,00;5215,00;1668,00;5928,00;3711,00;;;Male;20.8;Living_with_parents;4470,00;2395,00;573,00;1385,00;889,00;874,00;1472,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2019;Male;19.3;Living_with_parents;4911,00;6657,00;4590,00;5886,00;5693,00;6343,00;9384,00;;;Male;26.5;Living_with_parents;8711,00;1401,00;12035,00;2327,00;11713,00;2651,00;3745,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2019;Male;18.6;Living_with_parents;9485,00;6179,00;11517,00;5007,00;935,00;4334,00;4807,00;;;Male;20.8;Moved_out;7335,00;5680,00;5863,00;3479,00;4858,00;3026,00;2498,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2019;Male;21;Living_with_parents;5232,00;6501,00;5430,00;7242,00;3829,00;4708,00;6755,00;;;Male;20.7;Moved_out;666,00;320,00;1259,00;557,00;426,00;2061,00;791,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2019;Male;16.75;Living_with_parents;5733,00;4824,00;3017,00;8297,00;615,00;5458,00;3560,00;;;Male;20.2;Living_with_parents;3839,00;5847,00;13132,00;3935,00;4419,00;6533,00;14474,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2019;Male;24.78;Living_with_parents;5884,00;11863,00;3771,00;18166,00;1767,00;8794,00;12994,00;;;Male;21.8;Living_with_parents;3957,00;678,00;3832,00;816,00;3975,00;707,00;3147,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2019;Male;17.5;Moved_out;6604,00;12456,00;6525,00;9859,00;4724,00;7497,00;5483,00;;;Male;22.9;Living_with_parents;408,00;1471,00;7364,00;5114,00;371,00;531,00;524,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2019;Male;23.5;Moved_out;6927,00;1763,00;7331,00;2486,00;7638,00;8915,00;2254,00;;;Male;18.4;Living_with_parents;3758,00;5064,00;8557,00;1165,00;4235,00;2109,00;7142,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2019;Male;25.5;Living_with_parents;2700,00;6783,00;6411,00;6010,00;2070,00;10056,00;4553,00;;;Male;23.4;Moved_out;1741,00;6142,00;4449,00;3588,00;1941,00;4303,00;6808,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2019;Male;22.5;Moved_out;33,00;8139,00;6419,00;138,00;8995,00;7702,00;0,00;;;Male;19.9;Living_with_parents;6814,00;3749,00;713,00;811,00;0,00;523,00;13979,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2019;NA;20.1;Moved_out;6137,00;14538,00;6116,00;3709,00;3479,00;2463,00;12318,00;;;Male;22.2;Moved_out;1593,00;2588,00;2255,00;1411,00;6527,00;2190,00;4591,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2019;NA;18.1;Moved_out;9700,00;13273,00;7942,00;2161,00;10073,00;2929,00;9557,00;;;Male;22;Moved_out;2569,00;5833,00;4229,00;4159,00;2760,00;1678,00;5296,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;Male;21;Living_with_parents;7228,00;4409,00;9121,00;1503,00;3784,00;1227,00;4731,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;Male;17;Living_with_parents;8323,00;3242,00;7432,00;6588,00;4783,00;1693,00;8923,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;NA;20;Living_with_parents;416,00;678,00;2479,00;1662,00;7445,00;4028,00;7435,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;NA;23;Moved_out;1537,00;1800,00;2686,00;818,00;3785,00;1840,00;4989,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;NA;25;Living_with_parents;6036,00;8976,00;11672,00;7524,00;9373,00;8237,00;7626,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;NA;23.9;Moved_out;970,00;132,00;65,00;60,00;62,00;70,00;64,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;NA;18.1;Living_with_parents;4012,00;5531,00;941,00;3303,00;8345,00;3170,00;3412,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;NA;19.1;Moved_out;2490,00;735,00;2501,00;5534,00;4721,00;2494,00;4313,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;NA;21;Moved_out;1324,00;12,00;6093,00;4101,00;0,00;0,00;4808,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;NA;17.9;Living_with_parents;2497,00;1308,00;1663,00;4654,00;5954,00;4616,00;1111,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;NA;21.1;Living_with_parents;6046,00;1730,00;2105,00;152,00;2324,00;3732,00;4260,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;NA;20.3;Moved_out;1342,00;7867,00;8725,00;4746,00;9151,00;5082,00;5465,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
